lon,lat,lan,continent,country,city,total_user,total_click,total_book
-159.53,21.9286,en,North America,United States,Kalāheo,1,3,3
-158.082,21.3337,en,North America,United States,Kapolei,2,3,3
-158.082,21.3337,jp,North America,United States,Kapolei,1,6,1
-158.082,21.3337,tw,North America,United States,Kapolei,1,2,2
-158.025,21.5028,en,North America,United States,Wahiawā,1,1,1
-158.015,21.4513,en,North America,United States,Mililani Town,1,2,2
-158.003,21.3843,en,North America,United States,Waipahu,1,1,1
-158.003,21.3843,jp,North America,United States,Waipahu,1,1,1
-157.973,21.3972,en,North America,United States,Pearl City,2,2,2
-157.973,21.3972,jp,North America,United States,Pearl City,2,12,8
-157.923,21.6455,jp,North America,United States,Lā‘ie,1,3,3
-157.863,21.3093,jp,North America,United States,Honolulu (Downtown),1,2,1
-157.859,21.3098,en,North America,United States,Honolulu (Downtown),11,14,12
-157.859,21.3098,jp,North America,United States,Honolulu (Downtown),3,6,5
-157.859,21.3098,tw,North America,United States,Honolulu (Downtown),1,4,3
-157.858,21.3069,en,North America,United States,Honolulu,8,9,8
-157.858,21.3069,jp,North America,United States,Honolulu,2,3,2
-157.858,21.3069,tw,North America,United States,Honolulu,1,1,1
-157.856,21.3057,en,North America,United States,Honolulu (Downtown),1,1,1
-157.848,21.3136,en,North America,United States,Honolulu,2,2,2
-157.848,21.3136,jp,North America,United States,Honolulu,1,1,1
-157.848,21.3136,tw,North America,United States,Honolulu,1,1,1
-157.824,21.2878,en,North America,United States,Honolulu,3,5,5
-157.824,21.2878,tw,North America,United States,Honolulu,1,4,4
-157.817,21.2989,en,North America,United States,Honolulu (Manoa),4,5,5
-157.816,21.2998,tw,North America,United States,Honolulu (Manoa),2,2,2
-157.799,21.3999,en,North America,United States,Kaneohe,1,1,1
-157.797,21.2869,en,North America,United States,Honolulu,1,1,1
-157.797,21.3996,en,North America,United States,Kaneohe,4,6,5
-157.702,21.2962,en,North America,United States,Honolulu,2,2,2
-156.463,20.8733,en,North America,United States,Kahului,1,2,1
-155.996,19.6419,en,North America,United States,Kailua-Kona,1,1,1
-155.087,19.7241,en,North America,United States,Hilo,4,9,5
-155.087,19.7241,jp,North America,United States,Hilo,4,7,4
-155.087,19.7241,tw,North America,United States,Hilo,2,4,4
-155.085,19.7216,en,North America,United States,Hilo,2,2,2
-149.9,61.2181,en,North America,United States,Anchorage,1,1,1
-149.878,61.1972,en,North America,United States,Anchorage (North Star),1,1,1
-149.569,-17.5303,jp,Oceania,French Polynesia,Papeete (Fare 'Ute),1,1,1
-149.413,-17.772100000000002,jp,Oceania,French Polynesia,Otutara,1,1,1
-135.053,60.7175,en,North America,Canada,Whitehorse (Downtown Whitehorse),1,1,1
-134.405,58.2996,jp,North America,United States,Juneau (Downtown Juneau),1,1,1
-130.323,54.3139,en,North America,Canada,Prince Rupert,1,1,1
-124.996,49.6898,tw,North America,Canada,Courtenay,1,1,1
-124.99,49.6841,en,North America,Canada,Courtenay,2,3,2
-124.524,49.8356,en,North America,Canada,Powell River,1,3,3
-124.198,40.6952,en,North America,United States,Eureka,1,1,1
-124.083,40.8665,en,North America,United States,Arcata,1,5,4
-124.079,40.8744,en,North America,United States,Arcata,1,2,1
-123.995,49.2102,en,North America,Canada,Nanaimo,1,8,5
-123.995,49.2102,jp,North America,Canada,Nanaimo,1,3,2
-123.995,49.2102,tw,North America,Canada,Nanaimo,1,5,1
-123.94,49.1659,en,North America,Canada,Nanaimo,1,1,1
-123.759,49.4751,tw,North America,Canada,Sechelt,1,1,1
-123.723,48.3775,en,North America,Canada,Sooke,1,1,1
-123.536,48.3829,tw,North America,Canada,Metchosin,1,4,1
-123.513,49.4083,en,North America,Canada,Gibsons,1,1,1
-123.492,48.4342,tw,North America,Canada,Victoria,1,1,1
-123.42,48.491,en,North America,Canada,Victoria,1,1,1
-123.412,48.4357,en,North America,Canada,Esquimalt,3,3,3
-123.412,48.4357,jp,North America,Canada,Esquimalt,2,2,2
-123.412,48.4357,tw,North America,Canada,Esquimalt,2,4,4
-123.398,48.4766,en,North America,Canada,Victoria,1,1,1
-123.398,48.4766,tw,North America,Canada,Victoria,1,1,1
-123.37,48.4527,en,North America,Canada,Victoria,1,4,2
-123.37,48.4527,tw,North America,Canada,Victoria,1,1,1
-123.366,48.4284,en,North America,Canada,Victoria,7,12,11
-123.362,48.4265,en,North America,Canada,Victoria (Downtown),1,1,1
-123.361,48.4263,en,North America,Canada,Victoria (Downtown),2,2,2
-123.361,48.4263,tw,North America,Canada,Victoria (Downtown),1,1,1
-123.352,48.4359,en,North America,Canada,Victoria,1,1,1
-123.328,42.439,en,North America,United States,Grants Pass,1,1,1
-123.317,44.9193,jp,North America,United States,Dallas,1,2,2
-123.303,48.4496,tw,North America,Canada,Oak Bay,1,3,3
-123.275,44.5641,en,North America,United States,Corvallis,1,1,1
-123.262,44.5646,jp,North America,United States,Corvallis,1,1,1
-123.255,49.2654,en,North America,Canada,Vancouver (Ubc),26,42,32
-123.255,49.2654,jp,North America,Canada,Vancouver (Ubc),11,12,11
-123.255,49.2654,tw,North America,Canada,Vancouver (Ubc),7,14,11
-123.255,49.2656,jp,North America,Canada,Vancouver,1,2,2
-123.237,43.1699,en,North America,United States,Roseburg,1,1,1
-123.219,44.8525,en,North America,United States,Monmouth,1,1,1
-123.208,39.1502,en,North America,United States,Ukiah,5,17,15
-123.208,39.1502,jp,North America,United States,Ukiah,2,2,2
-123.208,39.1502,tw,North America,United States,Ukiah,4,8,7
-123.198,39.1457,en,North America,United States,Ukiah,1,1,1
-123.184,45.2166,jp,North America,United States,McMinnville,1,1,1
-123.169,49.2497,en,North America,Canada,Arbutus Ridge,4,5,4
-123.169,49.2497,jp,North America,Canada,Arbutus Ridge,1,1,1
-123.169,49.2497,tw,North America,Canada,Arbutus Ridge,1,2,2
-123.156,49.2628,en,North America,Canada,Vancouver (Kitsilano),13,17,14
-123.156,49.2628,jp,North America,Canada,Vancouver (Kitsilano),4,5,4
-123.156,49.2628,tw,North America,Canada,Vancouver (Kitsilano),4,7,7
-123.153,49.6988,en,North America,Canada,Squamish,1,2,2
-123.153,49.6988,jp,North America,Canada,Squamish,1,1,1
